IPC_section_number,easy_question,hard_question
22,"[""EasyQuestionForSection22"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection22"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
23,"[""EasyQuestionForSection23"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection23"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
24,"[""EasyQuestionForSection24"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection24"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
25,"[""EasyQuestionForSection25"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection25"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
26,"[""EasyQuestionForSection26"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection26"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
27,"[""EasyQuestionForSection27"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection27"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
28,"[""EasyQuestionForSection28"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection28"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
29,"[""EasyQuestionForSection29"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection29"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
30,"[""EasyQuestionForSection30"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection30"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
31,"[""EasyQuestionForSection31"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection31"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
32,"[""EasyQuestionForSection32"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection32"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
33,"[""EasyQuestionForSection33"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection33"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
34,"[""EasyQuestionForSection34"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection34"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
35,"[""EasyQuestionForSection35"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection35"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
36,"[""EasyQuestionForSection36"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection36"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
37,"[""EasyQuestionForSection37"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection37"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
38,"[""EasyQuestionForSection38"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection38"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
39,"[""EasyQuestionForSection39"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection39"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
40,"[""EasyQuestionForSection40"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection40"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
41,"[""EasyQuestionForSection41"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection41"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
42,"[""EasyQuestionForSection42"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection42"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
43,"[""EasyQuestionForSection43"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]","[""HardQuestionForSection43"", [""IPC Section A"", ""IPC Section B"", ""IPC Section C"", ""IPC Section D"", ""IPC Section E"", ""IPC Section F"", ""IPC Section G"", ""IPC Section H""], [""IPC Section B"", ""IPC Section C"", ""IPC Section F"", ""IPC Section H""]]"
