score,avg_time,prev_time,prev_category,prev_length,category
19563,2.43,2.53,Hard,168,1
8728,4.86,9.06,Hard,196,0
18688,6.04,5.45,Hard,489,0
7857,1.52,4.2,Hard,246,1
24816,3.78,8.22,Easy,489,0
35790,4.34,5.62,Hard,465,0
34163,4.75,8.78,Hard,476,0
15149,2.72,8.07,Hard,245,0
31707,4.55,3.8,Easy,297,1
42268,4.3,6.26,Easy,236,1
13911,6.01,2.12,Easy,349,0
13756,3.42,3.88,Easy,494,1
17863,3.55,8.83,Hard,498,0
2118,5.83,5.92,Easy,301,0
19665,6.62,2.4,Hard,224,0
11167,3.43,3.65,Hard,288,1
28833,5.67,8.95,Easy,247,1
32033,6.33,5.32,Hard,285,0
4140,6.86,2.74,Easy,280,1
35799,4.54,3.49,Hard,441,0
18823,0.76,2.08,Hard,273,1
45690,2.11,2.96,Hard,176,1
42710,5.24,0.84,Hard,247,1
37192,3.61,2.27,Easy,396,1
15009,5.83,6.21,Hard,210,0
19078,4.58,7.95,Hard,377,0
44678,5.14,5.48,Easy,420,0
6082,6.05,5.07,Easy,355,0
12520,6.43,6.27,Hard,404,0
48320,5.31,6.79,Easy,204,1
35827,4.96,5.57,Easy,171,1
31197,5.34,5,Hard,152,1
23089,1.2,5.31,Easy,208,1
45869,4.72,2.82,Easy,396,1
42303,1.15,6.73,Easy,159,1
5637,2.81,9.56,Easy,270,1
31361,2.42,0.57,Hard,284,1
49118,6.28,9.69,Easy,348,0
28690,3.56,5.71,Easy,426,1
45261,6,6.69,Hard,287,0
34785,5.07,1.8,Easy,460,1
7516,4.91,8.95,Easy,211,0
30312,6.31,8.72,Hard,180,0
15739,2.98,9.36,Hard,457,0
31978,3.27,1.42,Easy,409,1
15320,2.39,9.7,Easy,315,1
36149,5.36,8.77,Hard,422,0
24339,1.74,3.66,Hard,413,0
21923,6.05,8.12,Hard,346,0
20576,2.61,5.41,Easy,289,1
24463,2.7,8.56,Hard,324,0
22407,2.06,5.66,Hard,370,0
22938,3.81,5.47,Hard,336,0
46560,5.17,1.31,Easy,258,1
20018,6.44,5.5,Easy,257,0
32675,4.22,1.37,Easy,451,1
42509,0.7,5.38,Easy,466,1
15122,0.65,9.91,Hard,380,0
16559,0.73,6.1,Hard,339,0
11946,0.66,9.28,Hard,334,0
2320,4.26,9.64,Easy,451,0
25637,0.5,1.13,Easy,284,1
14866,5.85,8.45,Easy,242,0
29349,2.79,8.3,Easy,442,1
15853,3.34,1.12,Hard,447,0
42094,4.52,7.45,Hard,489,0
16270,4.84,0.66,Hard,177,0
39446,6.74,1.35,Easy,296,1
38788,2.45,8.68,Easy,236,1
35929,5.36,2.7,Easy,191,1
3918,0.73,8.4,Hard,269,0
19920,2.36,2.91,Hard,209,1
11151,5.22,9.17,Hard,247,0
23103,2.8,0.56,Easy,429,1
43932,2.84,5.78,Hard,296,1
40325,2.13,1.99,Easy,303,1
44336,0.51,1.64,Easy,445,1
17198,1.95,9.95,Easy,429,0
43987,5.08,3.56,Hard,160,1
41813,4.16,8.6,Easy,493,0
31823,4.51,2.81,Easy,378,1
25618,5.03,0.98,Easy,338,1
23126,5.9,9.11,Hard,443,0
22809,3.36,9.35,Hard,394,0
31458,0.7,0.84,Easy,435,1
8260,3.46,9.97,Hard,189,0
29400,2.88,2.66,Hard,432,1
13696,5.24,2.22,Easy,166,1
37131,3.28,0.88,Hard,359,1
8911,4.58,1.95,Easy,312,1
18276,5.53,5.69,Hard,159,0
18834,6.76,4.21,Easy,155,1
7550,4.83,8.19,Easy,200,0
7876,5.45,8.41,Hard,407,0
203,4.92,2.6,Hard,283,0
2317,1.88,4.39,Easy,326,1
14500,1.78,2.29,Easy,298,1
28844,2.4,3.31,Hard,212,1
27713,1.17,5.56,Hard,407,0
39178,5.64,5.88,Hard,295,0
24862,2.98,1.43,Hard,316,1
27183,4.52,8.84,Easy,207,1
3378,5.38,1.87,Hard,353,0
31792,1.02,7.1,Hard,408,0
35043,1.36,8.69,Hard,303,1
16797,2.21,2.79,Easy,315,1
34848,5.97,2.12,Hard,255,1
29080,6.67,6.23,Hard,343,0
8214,3.09,8.2,Hard,256,0
31810,5.45,7.82,Hard,162,0
26408,1.27,7.39,Easy,263,1
46971,1.01,5.59,Hard,179,1
36344,3.79,6.26,Easy,360,1
19800,5.57,8.29,Easy,404,0
22571,4.36,4.55,Easy,444,0
23219,5.26,2.38,Hard,318,0
39737,4.61,4.13,Easy,470,1
31669,3.74,6.7,Hard,327,0
42696,5.72,6.56,Easy,252,1
30018,2.72,9.9,Easy,253,1
46034,2.86,2.85,Hard,451,1
4705,3.85,7.59,Easy,447,0
37690,2.97,3.92,Hard,225,1
34895,5.66,3.58,Easy,203,1
50591,4.56,2.71,Hard,371,0
16435,4.5,2.78,Easy,167,1
28005,4.15,6.29,Easy,489,0
6545,5.8,1.72,Easy,262,1
1763,3.6,4.61,Hard,495,0
23053,5.89,1.07,Easy,427,0
45233,2.79,8.95,Hard,347,0
36593,5.16,9.43,Easy,481,0
25144,3.19,5.89,Hard,492,0
50243,4.46,9.03,Easy,216,1
36494,3,0.53,Easy,384,1
3190,0.69,5.29,Hard,460,0
41143,4.82,5.08,Easy,263,1
17545,5.26,6.3,Easy,293,0
19350,6.38,2.41,Hard,155,0
6640,1.66,2.84,Hard,494,0
4784,5.18,6.37,Easy,315,0
33654,1.89,7.03,Easy,474,1
43567,2.88,4.66,Easy,376,1
5362,3.71,6.6,Hard,377,0
50006,3.43,4.88,Hard,162,1
16433,6.23,8.28,Hard,453,0
45116,4.65,5.87,Easy,371,0
24411,1.41,1.21,Hard,370,0
49139,1.55,0.79,Hard,442,1
31579,2.12,4,Easy,252,1
32191,2.25,8.24,Easy,458,1
40263,3.62,9.67,Hard,165,1
29645,5.19,7.67,Hard,366,0
21595,1.44,7.69,Hard,312,0
4421,5.69,2.3,Easy,326,0
10244,2.66,6.04,Hard,234,0
22261,5.59,4.38,Easy,491,0
7394,2.97,6.57,Easy,237,1
48709,6.87,7.19,Hard,200,0
18057,3.74,1.11,Hard,339,0
21428,6.24,4.4,Hard,325,0
15773,3.93,4.1,Easy,268,1
218,1.42,4.18,Hard,338,0
8077,6.49,2.2,Easy,167,1
24765,6.84,4.03,Hard,187,0
8627,0.67,9.9,Easy,247,1
19576,4.05,3.15,Hard,239,0
36319,6.91,2.92,Hard,245,1
28612,5.36,9.59,Hard,173,0
46057,4.88,8.33,Hard,289,0
25946,3.63,3.53,Hard,357,1
46101,3.43,4.48,Easy,173,1
29806,0.54,5.52,Easy,317,1
4331,2.57,5.51,Easy,490,0
18634,3.04,1.12,Easy,259,1
19309,3.76,3.92,Hard,222,1
45317,1.38,7.26,Hard,412,0
40966,0.62,9.86,Hard,292,1
40567,5.56,3.59,Hard,323,1
44929,3.03,3.75,Easy,477,1
21812,2.52,6.11,Hard,498,0
28390,5.36,6.35,Easy,233,1
2311,1.47,8.74,Hard,408,0
21941,3.29,8.19,Hard,462,0
1047,6.54,0.58,Hard,236,0
9325,0.85,3.02,Easy,251,1
23600,3.62,6.24,Easy,384,0
33972,6.57,2.79,Hard,463,0
13215,1.69,6.14,Easy,333,0
22208,5.01,2.14,Hard,446,0
24275,1.41,4.31,Easy,421,1
14518,4.04,6.86,Easy,327,0
9014,3.37,1.08,Easy,494,1
40255,4.15,6.16,Easy,275,1
38021,5.95,2.26,Hard,479,0
19968,5.19,9.09,Hard,500,0
36138,4.68,4.25,Hard,486,0
2338,4.68,4.36,Hard,381,0
17928,5.01,9.54,Hard,164,0
42998,3.87,7.9,Hard,245,1
41406,3.69,6.39,Easy,282,1
23982,1.85,3.69,Easy,220,1
12769,1.2,4.24,Easy,276,1
34046,6.49,2.89,Hard,431,0
18630,1.5,7.06,Easy,328,0
10437,4.67,6.36,Easy,154,0
16959,1.07,7.43,Easy,453,0
35552,0.76,8.17,Easy,286,1
4099,6.38,9.03,Hard,150,0
43685,1.31,1.25,Easy,295,1
511,1.13,7.42,Hard,371,0
12416,3.76,4,Easy,362,1
23279,4.5,8.74,Hard,261,0
22712,2.86,6.59,Hard,162,0
25410,5.67,2.68,Easy,222,1
22838,5.59,7.22,Easy,217,0
18497,5.8,8.23,Easy,335,0
9192,1.6,7.21,Hard,210,0
12067,0.62,4.22,Hard,206,1
16136,6.91,6.01,Hard,312,0
33652,5.42,4,Hard,230,1
304,2.9,4.52,Hard,240,1
18273,5.82,2.87,Hard,351,0
16918,6.93,5.1,Easy,261,0
29130,4.69,5.78,Hard,233,0
27990,1.6,4.88,Easy,242,1
49169,2.65,5.35,Hard,293,1
1859,3.44,1.36,Easy,287,1
15101,6.07,2.45,Hard,442,0
48176,2.74,1.5,Hard,311,1
12178,1.01,7.34,Hard,453,0
48015,6.97,3.37,Hard,261,1
49290,4.19,8.43,Easy,310,1
31633,5.11,1.08,Easy,315,1
48949,1.03,9.19,Easy,440,1
1428,3.41,9.75,Easy,470,0
33667,4.73,1.71,Easy,361,1
10050,3.94,5.39,Easy,302,1
44763,5.12,7.27,Easy,470,0
9701,4.21,5.9,Easy,179,0
45740,1.06,6.45,Hard,178,1
11572,3.8,7.85,Easy,218,1
8739,1.27,6.12,Easy,489,0
16741,1.52,8.6,Easy,402,0
46041,5.53,3.18,Easy,366,1
16927,2.84,1.1,Hard,303,1
21521,1.31,8.07,Easy,330,0
23561,6.19,7.96,Easy,398,0
38072,6.63,3.75,Hard,408,0
31897,4.29,6.22,Hard,356,0
8888,5.27,8.72,Easy,271,0
10751,3.33,3.3,Easy,282,1
11594,6.22,2.98,Easy,471,0
10529,2.5,2.27,Easy,316,1
10454,5.32,9.34,Hard,241,0
3927,1.44,5.64,Hard,194,0
48605,3.62,6.19,Hard,216,1
33291,3.62,6.75,Easy,273,1
17127,5.11,5.91,Hard,361,0
4017,4.59,7.99,Hard,327,0
30423,1.76,1,Hard,478,1
34279,6.91,3.01,Hard,385,0
27501,2.41,5.96,Hard,330,0
45250,3.13,4.03,Hard,450,1
11244,1.56,6.59,Hard,162,0
14724,2.77,6.16,Hard,241,0
23620,3.7,9.54,Easy,252,1
38032,6.45,2.96,Hard,186,1
38330,3.35,6.34,Hard,393,0
43458,5.16,8.42,Hard,455,0
12502,5.33,1.24,Easy,278,1
19298,3.29,0.67,Hard,458,0
8423,5.21,8.6,Hard,192,0
18386,2.3,9.03,Hard,412,0
22647,3.05,7.38,Hard,459,0
31902,4.47,3.53,Hard,453,0
47328,1.64,6.5,Easy,276,1
20063,3.69,6.72,Hard,207,0
4735,5.1,3.2,Hard,211,0
44583,6.22,2.04,Hard,237,1
4991,2.25,6.27,Hard,209,0
18783,6.02,2.68,Easy,418,0
30109,4.9,4.59,Hard,262,1
25444,1.92,2.18,Hard,439,1
13757,4.75,2.72,Hard,496,0
21677,0.56,4.98,Easy,485,1
9768,4.11,2.58,Hard,354,0
3197,6.1,0.59,Hard,407,0
40244,6.94,2.9,Hard,309,1
309,4.57,8.84,Hard,165,0
20482,1.98,4.95,Easy,348,1
16910,1.09,9.97,Easy,387,0
31231,5.05,4.36,Easy,329,1
5987,6.63,2.08,Easy,386,0
13053,5.65,1.09,Hard,434,0
7278,4.66,4.37,Easy,225,1
5422,3.07,5.03,Easy,287,1
47965,5.25,6,Hard,402,0
44282,0.64,1.98,Easy,381,1
377,5.45,8,Easy,256,0
35115,3.97,3.52,Hard,369,1
46524,5.58,7.8,Easy,369,0
5385,5.01,9.44,Hard,263,0
13522,4.22,9.28,Easy,306,0
41171,4.62,8.99,Easy,200,1
2861,5.16,8.88,Easy,311,0
27334,6.55,4.25,Hard,426,0
16690,3.51,2.1,Easy,220,1
46398,4.46,9.25,Easy,155,1
29893,1.87,4.02,Easy,433,1
40380,2.25,8.88,Easy,205,1
34970,6.04,7.86,Easy,296,1
538,5.58,2.08,Easy,236,1
36592,3.07,8.61,Easy,287,1
25273,3.86,5.94,Hard,168,1
23551,5.96,7.98,Easy,429,0
19424,5.12,7.5,Easy,294,0
23022,1.68,1.43,Easy,345,1
2840,6.28,7.31,Easy,162,0
16140,1.38,9.67,Easy,374,0
23573,0.94,4,Hard,206,1
24570,5.41,3.57,Hard,266,0
16307,2.57,0.8,Easy,412,1
2909,0.82,5.17,Hard,153,0
20135,1.01,2.99,Easy,404,1
15501,1.46,0.95,Hard,264,1
30976,0.92,7.47,Easy,229,1
21960,1.52,6.98,Easy,184,1
5418,1.68,0.93,Easy,391,1
10441,4.77,1.79,Easy,393,0
39696,1.49,2.12,Easy,437,1
42428,2.59,1.35,Hard,260,1
25770,6.16,0.67,Easy,351,1
30184,5.44,7.39,Easy,260,1
3473,5.84,6.63,Easy,170,0
19120,3.57,7.31,Easy,182,1
8633,6.79,3.89,Easy,446,0
22907,3.09,5.2,Hard,224,0
38623,3.78,5.6,Hard,243,1
45730,2.52,9.88,Hard,331,0
12604,0.9,5.02,Easy,304,1
17540,2.27,9.79,Easy,204,1
6724,6.56,8.43,Easy,416,0
21695,3.8,6.45,Hard,446,0
9194,4.35,0.84,Easy,275,1
4248,5.06,7.5,Hard,207,0
3593,4.06,8.88,Hard,225,0
29105,6.96,9.2,Hard,228,0
35461,0.7,9.38,Easy,298,1
24635,3.62,1.51,Hard,276,1
39141,4.84,8.95,Hard,242,0
48697,3.19,4.71,Hard,480,1
44011,6.15,9.98,Easy,234,1
2881,1.82,6.84,Hard,240,0
13845,6.36,8.39,Easy,292,0
21797,6.15,8.75,Hard,168,0
33881,6,6.27,Hard,314,0
20979,0.87,6.94,Hard,244,0
49520,6.57,1.92,Easy,500,1
21876,6.43,3.82,Hard,162,0
34758,1.22,9.73,Hard,397,0
19937,1.33,3.85,Hard,350,0
12705,3.32,5.11,Easy,494,0
35044,0.61,1.23,Easy,456,1
11619,1.4,0.9,Hard,465,0
21699,4.55,1.56,Hard,317,0
48946,3.22,2.01,Hard,434,1
41324,1.05,0.94,Hard,197,1
14191,2.11,1.41,Hard,411,0
6680,6.45,7.38,Easy,254,0
49551,4.29,6.58,Hard,385,0
40771,6.87,4.36,Hard,313,1
44600,6.97,4.94,Hard,423,0
2715,3.72,4.6,Easy,259,1
5490,3.33,1.91,Easy,446,1
19171,0.91,9.45,Hard,443,0
29268,2.72,3.44,Easy,473,1
1366,2.48,1,Hard,178,1
39258,5.19,3.61,Easy,215,1
50159,4.79,7.47,Easy,218,1
35912,2.48,2.36,Hard,458,1
33705,1.19,0.99,Hard,344,1
20427,5.06,4.51,Hard,490,0
20430,5.32,0.88,Hard,355,0
36483,4.67,9.66,Easy,226,1
29982,1.82,3.28,Easy,445,1
19370,6.51,2.2,Easy,397,0
1287,3.29,8.27,Easy,478,0
36376,4.79,3.63,Easy,423,1
12861,1.2,0.86,Hard,150,1
3232,4.4,5.38,Easy,242,0
33268,4.18,4.67,Easy,465,1
4843,1.97,2.78,Hard,253,1
13244,4.14,7.8,Easy,200,0
12701,6.81,1.73,Hard,433,0
19957,3.48,6.76,Easy,256,1
29012,5.82,3.95,Easy,376,1
13314,5.61,3.19,Hard,199,0
917,0.85,5.95,Easy,382,0
32676,2.62,6.33,Easy,459,1
43384,1.15,7.17,Hard,390,0
2532,4.86,8.4,Easy,362,0
42566,1.62,5.12,Easy,455,1
45518,5.53,7.95,Hard,314,0
11361,4.34,7.54,Hard,300,0
10514,1.18,7.31,Hard,409,0
49010,6.23,3.86,Easy,498,1
16378,1.72,7.88,Easy,151,1
27602,5.8,7.58,Easy,413,0
13672,0.92,2.41,Easy,208,1
35898,6.72,7.37,Easy,428,0
1776,1.14,1.87,Easy,309,1
13814,4.14,9.94,Hard,238,0
40592,6.61,5.71,Hard,309,0
6001,1.32,9.52,Easy,191,1
12217,1.51,2.14,Hard,219,1
36662,5.52,2.58,Hard,421,0
8852,1.47,3.79,Hard,259,1
27667,5.18,9.55,Easy,406,0
19174,0.87,2.46,Easy,310,1
11892,3.13,8.3,Hard,194,0
26311,1.95,0.88,Hard,410,1
20230,1.36,3.76,Hard,435,0
24539,0.89,9.6,Hard,240,0
45065,5.35,6.54,Easy,299,1
2149,1.61,8.77,Easy,258,1
21450,3.97,8.94,Hard,363,0
47912,2.44,4.76,Easy,160,1
8038,1.21,4.46,Easy,374,1
8997,4.73,7.71,Easy,495,0
1431,2.7,2.93,Easy,434,1
46626,5.29,8.93,Easy,449,0
20243,1.18,6.95,Hard,266,0
21873,3.76,3.96,Easy,294,1
45644,7,3.33,Easy,188,1
49331,3,5.67,Easy,194,1
37129,3.54,8.2,Easy,414,1
1996,1.28,0.79,Easy,450,1
9226,5.68,6.89,Easy,310,0
38732,2.17,1.06,Easy,322,1
19575,4.97,6.64,Hard,162,0
26736,1.15,3.7,Easy,402,1
47193,4.6,3.91,Easy,286,1
32625,0.76,1.58,Easy,430,1
38015,5.96,6.65,Easy,249,1
987,1.38,5,Easy,388,1
3101,5.9,6.1,Hard,288,0
29718,0.57,5.41,Easy,331,1
19700,3.97,4.09,Easy,322,1
2276,5.29,7.46,Easy,406,0
44326,3.99,7.11,Hard,325,1
22093,0.76,2.96,Hard,372,0
37797,4.97,5.91,Easy,381,0
15735,4.75,2.05,Easy,230,1
49245,6.05,5.86,Easy,248,1
28094,5.97,3.79,Easy,261,1
37936,3.68,9.69,Hard,465,0
42762,6.89,8.73,Hard,182,0
38223,0.69,2.12,Hard,309,1
11607,5.47,7.21,Hard,189,0
7441,4.96,2.59,Easy,500,0
6340,4.39,4.05,Hard,369,0
50979,5.67,2.06,Easy,330,1
13475,1.15,3.95,Easy,206,1
14514,3.44,7.89,Hard,235,0
36984,1.69,6.9,Hard,325,1
44826,2.61,9.05,Easy,172,1
47334,2.56,9.02,Easy,183,1
15991,4.13,6.81,Hard,317,0
33783,1.02,9.53,Easy,349,1
14660,6.67,3.63,Hard,335,0
50189,6.09,4.11,Hard,498,0
26105,2.22,3.5,Easy,490,1
46979,6.8,3.21,Easy,439,1
14458,5.43,9.33,Easy,290,0
13335,4.62,7.75,Hard,412,0
16938,4.18,2.99,Hard,201,0
46485,3.08,9.91,Easy,464,1
9643,5.37,5.6,Hard,407,0
11086,1.7,3.4,Hard,269,1
18109,6.23,1.91,Easy,418,0
16309,4.71,5.41,Hard,218,0
1315,3.1,6.83,Hard,433,0
40961,4.93,4.04,Hard,249,1
36341,4.58,7.81,Hard,340,0
9989,4.01,1.34,Hard,162,0
7957,4.05,4.89,Hard,211,0
25692,5.74,4.55,Easy,363,1
28830,3.07,2.71,Easy,243,1
48402,6.01,4.87,Easy,240,1
25989,5.99,8.23,Easy,168,1
29920,5.8,5.97,Easy,472,0
46271,0.77,9.81,Easy,342,1
44944,3.13,9.37,Hard,481,0
44801,6.91,3.18,Easy,460,1
33039,2.02,5.71,Easy,454,1
29715,2.27,9.41,Easy,219,1
21127,6.06,0.98,Easy,188,1
34484,6.04,5.31,Hard,451,0
37575,2.85,9.94,Hard,467,0
22675,6.72,2.82,Easy,290,1
2753,4.69,1.61,Easy,361,0
8282,5.79,8.44,Easy,245,0
18585,6.28,5.48,Hard,237,0
3759,5.21,2.02,Hard,330,0
42586,4.32,6.49,Hard,418,0
40790,6.02,3.31,Easy,201,1
24551,3.62,3.05,Hard,168,1
11709,5.36,2.29,Easy,369,0
1684,2.04,3.98,Easy,348,1
38260,2.61,1.35,Easy,338,1
23133,5.58,3.15,Easy,343,0
48959,5.07,4.18,Easy,261,1
40566,3.46,0.59,Hard,300,1
45856,4.32,5.91,Hard,224,0
49584,4.43,4.34,Easy,405,1
37089,1.11,9.51,Hard,491,0
40881,2.49,7.09,Easy,325,1
33167,3.65,5.12,Hard,225,1
18996,5.94,8.07,Hard,236,0
25623,2.86,1.45,Easy,272,1
6999,5.32,7.28,Hard,258,0
13183,4.58,5.07,Easy,445,0
40827,5.72,5.14,Hard,319,0
24771,5.9,5.16,Easy,210,0
14297,3.8,1.85,Easy,470,1
24208,2.68,2.98,Easy,408,1
44174,1.65,4.62,Hard,488,1
1997,0.67,4.34,Easy,316,1
24081,5.98,5.49,Easy,279,0
10275,0.69,6.25,Easy,230,1
8015,6.84,9.68,Easy,183,0
14205,4.79,3.15,Hard,283,0
47652,6.78,9.5,Easy,284,1
36702,5.3,4.08,Easy,168,1
37924,2.34,9.69,Hard,376,0
29957,0.85,3.1,Easy,300,1
10512,6.49,0.77,Hard,386,0
46151,3.52,4.28,Hard,193,1
12856,2.19,7.56,Easy,470,0
33799,6.04,5.59,Hard,312,0
16368,5.5,3.02,Easy,436,0
20711,5.93,1.37,Easy,183,1
39916,2.86,9.59,Easy,273,1
33430,1.47,3.85,Hard,330,1
9976,5.44,4.72,Hard,477,0
43390,5.74,0.6,Hard,390,0
27098,1.11,2.58,Easy,307,1
8746,6.01,8.69,Easy,201,0
5615,2.67,9.56,Hard,203,0
2472,5.55,4.96,Hard,441,0
13840,6.52,7.57,Hard,369,0
3718,4.15,9.16,Hard,383,0
9954,1.29,1.06,Hard,329,0
40277,5.52,2.57,Hard,487,0
22536,2.29,6.07,Easy,341,0
39305,5.3,0.8,Hard,263,1
28999,2.24,9.52,Easy,466,1
22410,5.1,0.91,Hard,294,0
43372,2.7,8.05,Hard,453,0
24693,6.46,1.27,Hard,176,0
39817,3.43,8.73,Easy,329,1
5728,5.85,2.02,Easy,462,0
31898,0.69,1.68,Easy,432,1
44209,5.53,2.74,Easy,293,1
50517,4.37,7.88,Easy,294,1
27077,6.79,1.59,Hard,285,1
26819,5,8.96,Easy,151,1
30077,6.86,5.36,Easy,287,1
19196,3.28,4.51,Hard,205,1
34472,5.82,9.87,Hard,301,0
3623,0.86,8.25,Easy,170,1
5110,2.14,1.17,Easy,192,1
10983,1.06,2.99,Easy,498,1
47661,6.52,1.84,Hard,349,0
35794,3.39,9.04,Easy,291,1
50344,4.52,7.2,Hard,175,0
21986,6.2,6.61,Hard,217,0
49901,3.98,3.13,Hard,430,1
32359,6.39,0.88,Easy,415,1
4544,2.09,7.84,Hard,323,0
5214,1.72,3.91,Hard,358,0
14435,5.45,5.82,Easy,306,0
23174,0.7,3.08,Easy,429,1
764,4.89,2.81,Easy,499,0
86,5.16,2.89,Hard,386,0
45317,0.72,4.33,Hard,343,1
17415,5.25,3.35,Easy,372,0
46325,5.65,1.39,Easy,360,1
16665,0.65,3.79,Easy,219,1
621,3.68,3.44,Easy,184,1
13267,6.94,3.33,Hard,320,0
5201,4.37,9.1,Hard,338,0
45891,1.87,7.84,Easy,483,1
12259,2.15,1.46,Hard,491,0
9195,3.17,1.11,Hard,315,1
18458,3.84,6.09,Easy,483,0
34645,4.85,4.6,Easy,380,1
26991,3.6,3.88,Easy,274,1
28800,3.71,1.56,Hard,431,1
39636,6.67,2.53,Easy,191,1
5655,2.12,4.92,Hard,342,0
37703,5.29,7.05,Easy,392,0
9956,2.8,8.22,Hard,285,0
35615,6.97,4.84,Hard,396,0
28940,5.33,5.95,Hard,162,0
38712,4.37,7.68,Hard,327,0
22312,5.81,5.78,Hard,333,0
13342,3.75,7.24,Hard,390,0
10744,6.35,7.75,Easy,296,0
35109,6.41,9.17,Hard,395,0
43402,3.47,0.5,Easy,187,1
26445,6.51,2.39,Easy,252,1
45397,4.69,2.02,Hard,215,1
29883,3.5,2.29,Easy,242,1
8688,3.65,5.43,Hard,438,0
17856,3.86,0.97,Easy,159,1
39552,2.73,8.64,Hard,253,1
21360,5.48,3.49,Easy,484,0
32256,3.14,0.73,Hard,265,1
44422,3.02,9.89,Easy,236,1
41437,4.95,7.19,Hard,245,0
23856,2.17,9.2,Easy,241,1
16845,3.9,3.83,Easy,407,1
23276,2.11,4.39,Easy,260,1
40275,6.78,1.68,Easy,172,1
33762,1.05,0.72,Easy,314,1
23315,5.77,7.09,Hard,443,0
45582,5.72,6.65,Hard,445,0
42684,3.04,5.75,Easy,322,1
37474,6.08,1.99,Hard,477,0
465,2.52,3.6,Easy,444,1
19937,6.26,2.16,Easy,486,0
40955,4.69,3.17,Hard,343,0
42911,0.92,6.27,Easy,178,1
26300,2.1,2.05,Hard,266,1
40117,4.31,9.38,Hard,191,0
11473,4.9,2.44,Hard,425,0
34804,2.21,6.8,Easy,352,1
14465,6.53,3.67,Hard,153,0
20694,4.18,9.29,Easy,191,0
18254,2.65,2.21,Hard,449,0
41345,1.39,2.42,Easy,322,1
28486,3.16,3.52,Hard,172,1
50742,0.53,9.72,Easy,231,1
22047,3.64,9.95,Easy,188,1
42498,2.15,2.64,Hard,420,1
31718,3.41,0.96,Hard,153,1
40847,0.93,2.29,Easy,441,1
9620,2.87,7.17,Hard,285,0
29120,1.1,9.14,Easy,208,1
33595,3.05,9.58,Easy,386,1
32896,4.76,2.07,Easy,264,1
50687,5.89,9.28,Easy,466,0
2723,6,2.74,Easy,354,0
43420,5.69,1.81,Hard,383,0
7174,2.36,3.39,Hard,449,0
45408,2.64,4.37,Easy,417,1
3745,6.52,5.28,Easy,363,0
20051,3.27,2.7,Easy,380,1
13389,3.75,4.15,Hard,240,1
41124,4.05,3.52,Hard,239,1
49232,3.75,0.93,Hard,377,1
49028,5.63,8.32,Easy,358,0
13027,5.89,6.16,Easy,217,0
